L_beam_mm,DeltaT_K,P_total_mW,P_PEH_mW,P_TEG_mW
65.0,15.71,54.9794,41.0874,14.9358
65.0,17.24,57.9161,41.0874,17.9596
65.0,18.78,59.4515,41.0874,21.256
65.0,20.31,63.8651,41.0874,24.8237
65.0,21.84,67.2984,41.0874,28.6609
65.0,23.37,71.7276,41.0874,32.7661
65.0,24.9,76.2043,41.0874,37.1376
65.0,26.43,80.8524,41.0874,41.7737
65.0,27.96,85.1663,41.0874,46.6729
65.0,29.49,87.9082,41.0874,51.8332
65.0,31.02,94.753,41.0874,57.2531
65.0,32.55,100.1325,41.0874,62.9307
65.0,34.08,107.4131,41.0874,68.8641
65.0,35.61,114.3776,41.0874,75.0517
65.0,37.14,119.4453,41.0874,81.4915
65.0,38.67,125.094,41.0874,88.1817
65.0,40.2,131.6107,41.0874,95.1059
65.0,41.73,139.7351,41.0874,102.1726
65.0,43.27,145.4792,41.0874,109.4669
65.0,44.8,155.0274,41.0874,116.986
65.0,46.33,162.6752,41.0874,124.7271
65.0,47.86,171.9408,41.0874,132.6873
65.0,49.39,181.2842,41.0874,140.864
65.0,50.92,188.2915,41.0874,149.2542
65.0,52.45,196.5822,41.0874,157.8553
65.0,53.98,204.5603,41.0874,166.6642
65.0,55.51,212.3123,41.0874,175.6784
65.0,57.04,219.5213,41.0874,184.8948
65.0,58.57,229.8534,41.0874,194.3107
65.0,60.1,243.6192,41.0874,203.9233
65.0,61.63,256.1343,41.0874,213.7298
65.0,63.16,264.5499,41.0874,223.7272
65.0,64.69,272.8436,41.0874,233.9128
65.0,66.22,279.5104,41.0874,244.2838
65.0,67.76,284.2534,41.0874,254.8373
65.0,69.29,297.732,41.0874,265.5705
65.0,70.82,308.6354,41.0874,276.4807
65.0,72.35,324.0127,41.0874,287.5649
65.0,73.88,338.2404,41.0874,298.8203
65.0,75.41,342.3098,41.0874,310.2443
65.0,76.94,356.91,41.0874,321.8339
65.0,78.47,363.7288,41.0874,333.5863
65.0,80.0,379.8974,41.0874,345.4989
